code,nom,groupe,sous_groupe,energie_kcal,proteines,glucides,lipides,fibres,sucres,eau,calcium,cuivre,fer,iode,magnesium,manganese,phosphore,potassium,selenium,sodium,zinc,retinol,beta_carotene,vitamine_D,vitamine_E,vitamine_K1,vitamine_K2,vitamine_C,vitamine_B1,vitamine_B2,vitamine_B3,vitamine_B5,vitamine_B6,vitamine_B9,vitamine_B12
25601,"Salade de thon et légumes, appertisée",entrées et plats composés,salades composées et crudités,,9.15,7.74,4.7,2.7,3.08,76.5,20.7,0.1,1.1,2.0,25.1,0.1,88.4,232.0,,445.0,0.6,2.0,,0.5,1.6,,,2.75,0.04,0.053,4.45,0.16,0.29,31.0,1.45
25602,"Salade composée avec viande ou poisson, appertisée",entrées et plats composés,salades composées et crudités,,8.06,6.4,5.3,2.0,1.9,76.7,22.0,0.07,0.7,20.0,20.0,0.1,92.0,220.0,30.0,381.0,0.38,21.0,781.0,0.44,2.04,9.75,,,0.032,0.022,4.13,0.2,0.12,11.1,1.23
25605,"Champignons à la grecque, appertisés",entrées et plats composés,salades composées et crudités,,2.08,3.95,3.55,2.35,2.38,85.2,27.0,0.17,1.06,2.46,13.5,0.13,64.1,277.0,1.79,500.0,0.4,0.0,747.0,0.0,1.08,,,6.67,0.056,0.21,1.84,0.88,0.088,19.6,0.018
25606,"Salade de pommes de terre, fait maison",entrées et plats composés,salades composées et crudités,,2.68,9.9,8.2,1.3,,76.0,19.0,0.12,0.65,,15.0,0.1,52.0,254.0,,529.0,0.31,29.0,36.0,0.0,,,,10.0,0.077,0.06,0.89,0.53,0.14,7.0,0.0
25608,"Taboulé ou Salade de couscous, préemballé",entrées et plats composés,salades composées et crudités,179.0,4.88,23.7,6.7,2.5,4.9,60.3,24.0,0.16,0.88,20.0,25.0,0.4,80.0,210.0,20.0,399.0,0.65,0.0,149.0,0.0,1.26,10.6,,6.27,0.087,0.024,0.5,0.26,0.052,14.5,0.0
25609,"Salade de pomme de terre à la piémontaise, préemballée",entrées et plats composés,salades composées et crudités,130.0,4.5,8.87,8.3,0.5,1.2,75.8,13.0,0.07,0.43,20.0,16.0,0.08,72.0,300.0,20.0,433.0,0.49,21.0,93.6,0.5,3.96,10.9,,21.6,0.08,0.049,0.98,0.44,0.099,21.6,
25614,"Salade de riz, appertisée",entrées et plats composés,salades composées et crudités,,5.13,16.1,4.35,1.7,1.0,72.5,23.3,0.1,0.43,5.0,13.1,0.1,66.6,143.0,17.7,431.0,0.3,2.0,34.0,0.5,1.63,,,4.48,0.058,0.045,2.65,0.14,0.13,33.5,0.43
25615,"Salade de pâtes, végétarienne",entrées et plats composés,salades composées et crudités,,5.7,13.7,8.1,1.7,2.3,72.6,14.0,0.06,0.6,4.0,11.0,0.2,37.0,84.0,,51.0,0.4,7.0,1180.0,0.0,1.95,,,21.0,0.04,0.02,0.4,0.0,0.09,16.0,0.0
25616,"Crudité, sans assaisonnement (aliment moyen)",entrées et plats composés,salades composées et crudités,29.9,0.94,3.07,0.7,1.51,2.27,93.2,25.1,0.048,0.42,7.21,11.7,0.17,25.6,241.0,7.79,12.5,0.17,0.017,1930.0,0.093,0.34,24.0,,12.2,0.042,0.025,0.37,0.17,0.082,38.8,0.0
25619,"Salade de pâtes aux légumes, avec poisson ou viande, préemballée",entrées et plats composés,salades composées et crudités,,5.19,14.0,9.94,1.98,2.16,70.5,19.0,0.085,0.95,3.13,23.3,0.15,69.4,193.0,5.3,378.0,0.53,11.0,494.0,0.12,1.18,,,12.3,0.064,0.057,1.77,0.28,0.14,18.4,0.14
25626,"Macédoine de légumes en salade, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,,2.81,7.0,9.3,4.11,2.3,78.3,,,,,,,,,,426.0,,,,,,,,,,,,,,,
25628,"Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée",entrées et plats composés,salades composées et crudités,,8.13,4.88,10.0,2.0,1.71,71.8,100.0,0.11,0.5,20.0,19.0,0.15,150.0,300.0,20.0,301.0,0.69,27.9,627.0,0.25,2.24,32.0,,1.11,0.096,0.068,2.29,0.47,0.094,29.3,0.48
25629,"Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée",entrées et plats composés,salades composées et crudités,168.0,3.79,17.4,8.3,3.3,4.61,65.5,37.0,0.16,1.2,20.0,46.0,0.62,110.0,140.0,20.0,309.0,0.77,,611.0,0.25,2.67,10.0,,0.5,0.071,0.01,0.18,0.27,0.059,22.1,
26257,"Carottes râpées, avec sauce, préemballées",entrées et plats composés,salades composées et crudités,,0.98,6.01,5.0,3.64,5.2,84.7,31.0,,,,,,,,,264.0,,,,,,,,,,,,,,,
26258,"Salade de betterave, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,,1.29,7.45,4.94,2.66,5.3,83.5,21.0,,4.0,,,,,,,280.0,,,,,,,,5.0,,,,,,,
26259,"Salade de chou ou Coleslaw, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,105.0,0.94,5.78,8.1,3.0,4.72,80.4,39.0,0.03,1.3,20.0,9.3,0.26,29.0,210.0,20.0,353.0,0.27,,1340.0,0.25,2.21,23.0,,21.6,0.026,0.01,0.1,0.21,0.093,14.6,
26260,"Salade de concombre à la crème/fromage blanc, préemballée",entrées et plats composés,salades composées et crudités,,1.1,1.97,11.3,1.48,1.39,,,,,,,,,,,411.0,,,,,,,,,,,,,,,
26261,"Salade de lentilles et saucisse fumée, préemballée",entrées et plats composés,salades composées et crudités,,7.0,8.9,11.8,3.6,0.9,,,,,,,,,,,355.0,,,,,,,,,,,,,,,
26262,"Salade grecque, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,,2.0,1.4,7.1,2.0,1.4,,,,,,,,,,,416.0,,,,,,,,,,,,,,,
26263,"Salade de riz à la niçoise, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,,4.45,15.8,6.08,1.5,1.35,73.7,,,,,,,,,,300.0,,,,,,,,,,,,,,,
26269,"Taboulé ou Salade de couscous au poulet, préemballé",entrées et plats composés,salades composées et crudités,,6.4,20.6,7.45,2.02,2.48,62.6,18.0,0.1,0.8,20.0,24.0,0.32,100.0,190.0,20.0,424.0,0.65,21.0,135.0,0.25,1.48,3.22,,0.5,0.14,0.045,1.16,0.4,0.096,96.5,0.1
25900,"Soupe aux lentilles, préemballée à réchauffer",entrées et plats composés,soupes,55.0,3.74,6.6,1.12,1.8,0.7,85.8,25.0,0.17,1.07,4.0,19.0,0.24,74.0,144.0,16.1,143.0,0.61,0.0,430.0,,0.0,,,1.7,0.07,0.045,0.55,0.14,0.09,20.0,0.12
25901,"Soupe à la volaille et aux légumes, préemballée à réchauffer",entrées et plats composés,soupes,30.8,3.09,2.6,0.8,0.4,1.2,,,,,,,,,,,700.0,,,,,,,,,,,1.9,,,,0.11
25903,"Soupe aux légumes variés, préemballée à réchauffer",entrées et plats composés,soupes,39.4,0.76,5.05,1.56,1.1,1.72,90.2,14.0,0.02,0.14,20.0,5.3,0.04,19.0,110.0,20.0,275.0,0.11,21.0,1710.0,0.0,0.62,2.53,,5.75,0.29,0.062,0.31,0.33,0.16,39.8,0.052
25904,"Soupe de poissons et / ou crustacés, préemballée à réchauffer",entrées et plats composés,soupes,42.8,3.45,2.88,1.79,0.69,0.9,89.4,130.0,0.07,0.61,70.0,11.0,0.05,80.0,110.0,20.0,343.0,0.25,59.8,446.0,0.2,0.32,0.93,,0.5,0.03,0.039,0.63,0.18,0.032,5.0,1.35
25905,"Soupe aux légumes variés, déshydratée reconstituée",entrées et plats composés,soupes,34.5,0.86,4.43,1.22,1.16,1.07,90.9,21.0,0.03,0.19,1.0,7.0,0.05,12.5,60.0,20.0,276.0,0.12,21.0,261.0,0.0,0.19,2.42,,3.28,0.05,0.24,0.13,0.12,0.044,8.4,0.029
25907,"Soupe aux poireaux et pommes de terre, préemballée à réchauffer",entrées et plats composés,soupes,37.1,0.79,4.46,1.51,1.28,0.81,90.8,16.0,0.02,0.17,20.0,5.6,0.04,16.0,94.0,20.0,290.0,0.13,21.0,120.0,,0.28,9.13,,7.95,0.01,0.03,0.23,0.14,0.23,29.3,0.045
25908,"Soupe à la volaille et aux vermicelles, préemballée à réchauffer",entrées et plats composés,soupes,30.8,1.3,3.86,1.0,0.56,0.77,93.8,7.96,0.069,0.14,0.5,7.93,0.057,17.0,30.5,10.0,326.0,0.1,1.0,119.0,0.0,0.03,0.0,,,0.055,0.045,0.54,0.074,0.02,2.0,0.02
25909,"Bouillon de viande et légumes type pot-au-feu, prêt à consommer",entrées et plats composés,soupes,4.8,0.2,0.1,0.4,0.0,0.0,98.1,1.0,0.0,0.1,,2.0,0.01,1.0,15.0,0.0,430.0,,0.0,,,,,,0.0,0.06,0.01,0.0,0.02,0.01,12.0,0.05
25910,"Soupe à l'oignon, préemballée à réchauffer",entrées et plats composés,soupes,40.4,1.35,4.93,1.4,1.34,1.5,92.7,12.0,0.054,0.27,,1.0,0.098,4.0,28.0,,315.0,0.25,1.0,1.0,0.0,0.11,0.2,,0.5,0.013,0.01,0.24,0.0,0.02,6.0,0.0
25912,"Soupe aux champignons, préemballée à réchauffer",entrées et plats composés,soupes,48.2,0.81,4.09,3.07,0.52,0.91,92.0,7.0,0.016,0.09,8.4,2.0,0.018,12.0,62.0,,312.0,0.06,5.5,0.0,0.1,0.24,9.6,,,0.006,0.008,0.17,0.072,0.007,1.0,0.0
25913,"Soupe à la carotte, préemballée à réchauffer",entrées et plats composés,soupes,33.2,0.61,3.89,1.41,1.22,1.82,91.2,15.0,,0.3,,7.0,,20.0,140.0,,259.0,,4.0,3500.0,,,,,11.0,0.05,,0.65,,0.08,9.0,
25914,"Soupe à la tomate, préemballée à réchauffer",entrées et plats composés,soupes,38.7,0.74,6.27,0.99,0.88,2.95,90.3,11.0,0.03,0.14,20.0,5.9,0.04,15.0,130.0,20.0,259.0,0.08,21.0,1680.0,0.6,0.69,1.01,,6.4,0.01,0.056,0.58,0.2,0.2,23.8,0.01
25915,"Soupe chorba frik, à base de viande et de frik",entrées et plats composés,soupes,62.9,3.75,5.4,2.5,1.9,0.9,85.1,19.0,0.07,0.97,2.0,17.0,0.31,54.0,157.0,1.4,337.0,0.84,4.4,172.0,0.02,0.6,,,3.2,0.03,0.04,0.96,0.18,0.07,16.0,0.11
25916,"Soupe minestrone, préemballée à réchauffer",entrées et plats composés,soupes,48.8,1.2,5.6,2.0,1.8,1.7,89.4,33.3,0.11,0.56,1.0,12.5,0.11,34.5,106.0,2.2,300.0,0.19,0.0,885.0,0.0,0.67,3.2,,1.25,0.023,0.034,0.44,0.22,0.071,10.0,0.0
25917,"Soupe au pistou, déshydratée reconstituée",entrées et plats composés,soupes,30.4,1.2,5.2,0.35,0.8,1.2,89.4,19.0,0.1,0.4,1.0,14.0,0.1,24.0,132.0,2.2,256.0,0.19,0.0,900.0,,0.2,,,7.0,,,,,0.07,18.0,
25919,"Soupe de poissons et / ou crustacés, déshydratée reconstituée",entrées et plats composés,soupes,29.0,0.91,5.09,0.5,0.21,1.06,90.6,,,,,,,0.0,0.01,,253.0,,,,,,,,,,,,,,,
25923,"Soupe asiatique, avec pâtes, déshydratée reconstituée",entrées et plats composés,soupes,29.8,0.97,5.25,0.44,0.49,1.21,93.3,,,,,,,,37.8,,334.0,,,,,,,,,,,,,,,
25924,"Soupe marocaine, déshydratée reconstituée",entrées et plats composés,soupes,34.3,1.2,5.77,0.55,0.72,1.49,90.0,,,,,,,,80.5,,318.0,,,,,,,,,,,,,,,
25925,"Soupe aux poireaux et pommes de terre, déshydratée reconstituée",entrées et plats composés,soupes,26.1,0.63,4.84,0.41,0.28,0.91,92.8,,,,,,,0.013,0.023,,292.0,,10.0,90.0,,,,,30.0,0.07,,0.8,0.27,,,
25928,"Soupe à la volaille et aux légumes, déshydratée reconstituée",entrées et plats composés,soupes,27.3,0.99,4.58,0.44,0.51,0.55,,,,,,,,,,,292.0,,,,,,,,3.0,,,,,0.03,8.0,
25930,"Bouillon de boeuf, déshydraté reconstitué",entrées et plats composés,soupes,9.05,0.6,1.33,0.15,0.0,0.33,97.6,5.25,0.041,0.15,,2.0,0.027,0.01,0.01,0.0,290.0,0.048,0.0,0.0,0.0,0.01,0.0,,0.0,0.0029,0.015,0.55,0.016,0.0083,1.75,0.065
25932,"Soupe aux asperges, déshydratée reconstituée",entrées et plats composés,soupes,35.3,0.6,5.14,1.31,0.28,0.99,90.8,,,,,,,0.015,0.035,,303.0,,,,,,,,,,,,,,10.0,
25933,"Soupe à la tomate et aux vermicelles, préemballée à réchauffer",entrées et plats composés,soupes,37.7,1.1,5.87,0.8,1.3,3.43,,,,,,,,,,,307.0,,,,,,,,20.0,,,,,,,
25934,"Soupe aux céréales et aux légumes, déshydratée reconstituée",entrées et plats composés,soupes,47.8,1.4,6.8,1.4,1.2,1.2,90.0,12.5,,0.29,,9.35,,,94.0,,312.0,,,,,,,,3.84,0.04,,0.47,,0.07,16.8,
25935,"Soupe à la tomate, déshydratée reconstituée",entrées et plats composés,soupes,36.2,0.76,5.79,0.97,0.64,2.44,90.4,11.0,0.03,0.14,20.0,5.0,0.04,10.0,65.0,20.0,278.0,0.1,21.0,147.0,,0.25,1.33,,0.5,0.02,0.017,0.46,0.064,0.027,6.85,0.14
25936,"Soupe aux champignons, déshydratée reconstituée",entrées et plats composés,soupes,37.8,0.65,4.37,1.79,0.82,0.63,91.3,10.0,0.02,0.02,20.0,2.5,0.03,9.51,48.0,20.0,311.0,0.07,21.0,14.7,0.25,0.24,0.8,,0.5,0.03,0.034,0.37,0.16,0.033,8.25,0.028
25942,"Soupe à l'oignon, déshydratée reconstituée",entrées et plats composés,soupes,24.0,0.58,4.37,0.4,0.31,1.3,94.1,20.0,0.043,,1.0,5.26,0.043,0.01,56.7,3.35,318.0,0.083,,,,,,,,,,,,,,
25945,"Soupe au potiron, préemballée à réchauffer",entrées et plats composés,soupes,35.9,0.67,4.13,1.56,1.31,2.37,91.8,15.0,0.03,0.14,20.0,5.8,0.04,17.0,130.0,20.0,256.0,0.13,21.0,2530.0,0.0,0.51,1.03,,0.5,0.018,0.014,0.1,0.13,0.065,9.35,0.036
25947,"Bouillon de volaille, déshydraté reconstitué",entrées et plats composés,soupes,5.58,0.6,0.5,0.13,0.0001,0.18,97.4,5.0,0.0,0.05,,1.0,0.01,0.0,10.0,0.0,312.0,0.01,1.0,0.0,,,,,0.0,0.005,0.01,0.1,0.02,0.0,1.0,0.01
25948,"Bouillon de légumes, déshydraté reconstitué",entrées et plats composés,soupes,5.38,0.34,0.65,0.16,0.0,0.19,98.0,1.0,0.0,0.1,,2.0,0.01,0.0,8.0,,240.0,,0.0,2.0,,,,,0.0,0.11,0.01,0.1,,0.0,1.0,0.0
25949,"Soupe à la tomate et aux vermicelles, déshydratée reconstituée",entrées et plats composés,soupes,21.6,0.63,4.21,0.18,0.32,0.72,92.2,9.1,0.05,0.18,20.0,4.8,0.06,0.0,62.0,20.0,271.0,0.08,21.0,162.0,0.25,0.34,0.8,,0.5,0.02,0.04,1.44,1.04,0.018,11.0,
25950,"Soupe à la volaille et aux vermicelles, déshydratée reconstituée",entrées et plats composés,soupes,21.3,0.75,3.87,0.25,0.26,0.31,94.2,7.2,0.02,0.1,20.0,3.5,0.05,14.0,36.0,20.0,272.0,0.1,21.0,20.7,,0.08,0.8,,0.5,0.28,0.01,0.1,0.041,0.025,,0.026
25953,"Soupe au pistou, préemballée à réchauffer",entrées et plats composés,soupes,31.9,2.0,4.1,0.5,1.5,0.25,,,,,,,,,,,260.0,,,,,,,,,,,,,,,
25954,"Soupe au potiron, déshydratée reconstituée",entrées et plats composés,soupes,38.3,0.79,5.61,1.24,0.76,2.64,,,,,,,,0.01,0.01,,279.0,,,,,,,,,,,,,,,
25955,"Soupe asiatique, avec pâtes, préemballée à réchauffer",entrées et plats composés,soupes,22.3,0.7,3.4,0.5,0.7,0.5,,,,,,,,,,,360.0,,,,,,,,,,,,,,,
25956,"Soupe minestrone, déshydratée reconstituée",entrées et plats composés,soupes,31.3,1.14,5.53,0.34,0.79,1.07,91.3,,,,,,,,122.0,,281.0,,,,,,,,5.0,,,,,0.06,18.0,
25957,"Soupe au cresson, déshydratée reconstituée",entrées et plats composés,soupes,25.1,0.42,3.95,0.8,0.19,0.31,,,,,,,,,,,308.0,,,,,,,,,,,,,,,
25958,"Soupe au cresson, préemballée à réchauffer",entrées et plats composés,soupes,34.0,1.0,5.4,0.8,0.6,0.9,,,,,,,,,,,310.0,,,,,,,,,,,,,0.25,30.0,
25962,"Soupe aux légumes avec fromage, préemballée à réchauffer",entrées et plats composés,soupes,50.2,1.34,5.09,2.51,0.93,1.62,,,,,,,,,,,268.0,,,,,,,,11.0,,,,,0.3,30.0,
25963,"Soupe aux légumes verts, préemballée à réchauffer",entrées et plats composés,soupes,33.4,1.0,3.84,1.32,1.05,0.81,90.9,24.0,0.02,0.27,20.0,7.1,0.06,24.0,120.0,20.0,280.0,0.18,21.0,177.0,0.25,0.28,16.5,,9.0,0.17,0.042,0.53,0.22,0.25,27.5,
25964,"Soupe aux légumes verts, déshydratée reconstituée",entrées et plats composés,soupes,34.8,0.72,5.31,1.07,0.54,1.07,91.8,12.0,0.02,0.11,20.0,3.0,0.03,15.0,50.0,20.0,264.0,0.09,21.0,10.5,0.25,0.18,2.82,,6.15,0.05,0.014,0.15,0.072,0.033,7.6,
25965,"Soupe aux pois cassés, préemballée à réchauffer",entrées et plats composés,soupes,56.7,2.68,6.25,1.98,1.6,1.02,,,,,,,,,,,279.0,,,,,,,,,,,,,,,
25967,"Soupe froide type Gaspacho ou Gazpacho, préemballée",entrées et plats composés,soupes,32.8,0.65,3.38,1.62,1.04,2.32,91.1,11.0,0.04,0.11,20.0,8.9,0.06,25.0,210.0,20.0,293.0,0.1,,291.0,0.25,1.31,52.6,,1.98,0.01,0.02,0.56,0.093,0.041,5.0,
25968,"Soupe aux asperges, préemballée à réchauffer",entrées et plats composés,soupes,133.0,4.6,4.7,10.4,1.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
25969,Soupe (aliment moyen),entrées et plats composés,soupes,37.4,1.27,4.5,1.37,1.02,1.6,90.7,27.8,0.04,0.27,16.5,7.19,0.064,24.9,108.0,9.35,296.0,0.18,15.2,1090.0,,0.48,6.98,,5.04,0.05,0.036,0.49,0.23,0.1,15.8,0.24
25972,"Soupe miso, déshydratée reconstituée",entrées et plats composés,soupes,17.1,1.38,2.18,0.5,0.5,0.69,94.6,18.0,0.06,0.19,70.0,6.9,0.08,19.0,49.0,20.0,438.0,0.11,,,0.25,0.26,1.15,,,0.015,0.01,0.1,0.068,0.01,16.5,1.98
8601,Tripes à la mode de Caen,entrées et plats composés,plats composés,116.0,20.4,0.3,3.68,0.0,,74.0,23.0,,1.1,6.0,6.4,,,42.5,,423.0,0.64,,,,0.47,,,0.0,0.02,,0.37,0.42,0.023,,1.2
8602,"Tripes à la mode de Caen, préemballées",entrées et plats composés,plats composés,112.0,18.4,0.7,3.62,1.25,0.5,77.9,23.6,,0.9,,6.6,,,34.6,,421.0,2.1,,,,,,,,,,,,,,
8612,Tripes à la tomate ou à la provençale,entrées et plats composés,plats composés,94.1,15.7,0.6,3.2,0.0,0.4,76.6,,,,,,,,,,492.0,,,,,,,,,,,,,,,
25001,Blanquette de veau,entrées et plats composés,plats composés,113.0,15.4,3.1,4.0,0.8,0.3,75.1,15.0,0.07,0.92,20.0,12.0,0.04,110.0,190.0,20.0,295.0,3.2,21.0,736.0,0.25,0.37,2.55,,0.5,0.062,0.047,1.77,0.33,0.074,23.3,1.59
25033,Boeuf bourguignon,entrées et plats composés,plats composés,84.6,8.93,4.17,3.3,1.25,1.57,78.4,16.9,0.053,1.75,3.8,13.3,0.054,215.0,230.0,2.58,354.0,2.91,10.0,,0.5,0.6,,,0.8,0.07,0.1,2.3,0.3,0.23,11.0,0.6
25035,"Sauté d'agneau au curry, préemballé",entrées et plats composés,plats composés,,10.5,,13.9,1.0,,73.5,17.5,0.07,2.15,,13.3,0.04,181.0,200.0,,514.0,2.77,,,,,,,,,,,,,,
25058,"Canard en sauce (poivre vert, chasseur, etc.), préemballé",entrées et plats composés,plats composés,145.0,9.55,10.2,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25063,"Lapin à la moutarde, préemballé",entrées et plats composés,plats composés,108.0,14.9,0.5,5.0,0.8,0.5,,,,,,,,,,,480.0,,,,,,,,,,,,,,,
25121,Coq au vin,entrées et plats composés,plats composés,133.0,13.0,4.0,7.0,0.9,1.0,,14.0,0.03,1.3,3.3,16.0,0.14,128.0,145.0,0.11,420.0,0.21,,0.0,0.04,0.48,,,1.5,0.07,0.19,3.7,0.74,0.17,31.0,1.4
25125,Paupiette de veau,entrées et plats composés,plats composés,193.0,14.5,2.6,13.8,0.2,0.41,64.1,27.6,0.088,1.0,5.54,37.2,0.18,133.0,272.0,3.26,510.0,1.25,24.9,1160.0,0.1,0.68,,,1.34,0.084,0.14,3.51,0.59,0.28,14.3,0.41
25126,Paupiette de volaille,entrées et plats composés,plats composés,164.0,23.9,8.8,3.4,1.17,,64.2,27.6,0.083,1.03,5.4,38.6,0.18,130.0,264.0,6.08,251.0,1.09,26.1,1160.0,0.14,0.69,,,1.33,0.082,0.11,3.97,0.56,0.31,13.8,0.28
25172,Viande en sauce (aliment moyen),entrées et plats composés,plats composés,104.0,11.3,3.65,4.6,1.08,1.34,77.1,17.1,0.064,1.13,7.06,14.2,0.07,142.0,198.0,6.17,341.0,2.4,12.1,542.0,0.23,0.81,,,1.27,0.061,0.067,2.61,0.42,0.16,14.8,0.74
25174,Poulet au curry et au lait de coco,entrées et plats composés,plats composés,124.0,10.6,3.15,6.9,1.1,1.49,75.2,18.0,0.05,0.51,20.0,18.0,0.12,110.0,210.0,20.0,427.0,0.44,21.3,412.0,0.25,1.65,3.22,,2.51,0.032,0.01,4.08,0.62,0.17,17.5,0.15
25175,"Meloukhia, plat à base de boeuf et corete, fait maison",entrées et plats composés,plats composés,189.0,10.6,1.2,14.7,4.7,1.2,67.7,51.3,0.04,2.4,2.8,30.6,0.05,88.0,228.0,2.1,373.0,2.0,0.0,143.0,0.0,5.1,,,1.5,0.03,0.14,1.36,0.32,0.12,20.0,0.66
25200,"Palette à la diable, préemballée",entrées et plats composés,plats composés,120.0,13.5,2.08,6.07,1.45,1.38,,,,1.0,,,,,,,901.0,,,,,,,,,,,,,,,
25201,"Langue de boeuf sauce madère, préemballée",entrées et plats composés,plats composés,180.0,9.5,4.5,13.5,1.0,2.5,,,,,,,,,,,430.0,,,,,,,,,,,,,,,
25207,"Porc au caramel, préemballé",entrées et plats composés,plats composés,136.0,10.0,11.4,5.4,0.7,7.9,70.7,9.9,0.04,0.49,20.0,12.0,0.11,94.0,160.0,20.0,536.0,1.1,21.0,64.5,0.25,0.62,1.5,,0.5,0.19,0.034,1.93,0.31,0.094,9.1,0.27
25211,"Boulettes au boeuf, à la sauce tomate, préemballées",entrées et plats composés,plats composés,117.0,9.0,5.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25213,"Paupiette de veau, préemballée,  cuite au four",entrées et plats composés,plats composés,276.0,22.0,0.48,20.5,0.9,0.3,54.8,24.0,0.07,0.94,20.0,18.0,0.03,180.0,260.0,20.0,428.0,2.3,21.0,,0.25,0.08,0.87,,1.62,0.16,0.071,3.83,0.59,0.22,11.9,1.61
25538,"Carpaccio de boeuf, avec marinade",entrées et plats composés,plats composés,271.0,15.2,0.55,23.0,0.36,0.5,57.0,112.0,0.1,1.84,9.12,22.6,0.064,187.0,242.0,5.84,437.0,2.79,23.6,98.3,0.38,3.18,,,5.87,0.088,0.17,2.11,0.28,0.27,12.0,2.04
25565,Yakitori (brochettes japonaises grillées en sauce),entrées et plats composés,plats composés,172.0,26.0,9.3,3.3,0.6,6.6,58.8,9.8,0.06,0.61,20.0,31.0,0.15,220.0,340.0,20.0,475.0,1.5,21.0,10.5,0.25,0.5,0.8,,,0.09,0.042,7.69,1.36,0.25,31.8,0.41
25585,"Brochette de boeuf, cuite",entrées et plats composés,plats composés,139.0,21.9,0.33,5.2,3.0,,69.2,23.0,0.1,2.4,20.0,25.0,0.08,200.0,430.0,20.0,345.0,4.4,21.0,,0.25,0.65,3.71,,10.8,0.041,0.14,4.72,0.54,0.31,19.8,1.94
25586,"Brochette de volaille, cuite",entrées et plats composés,plats composés,137.0,23.1,1.39,4.0,3.0,,68.0,13.0,0.05,0.61,20.0,33.0,0.1,230.0,520.0,20.0,299.0,1.1,21.0,,0.25,0.74,2.41,,8.49,0.071,0.07,8.91,1.71,0.47,88.3,0.7
25009,"Hachis parmentier à la viande, préemballé",entrées et plats composés,plats composés,138.0,5.99,9.39,8.22,1.43,1.47,73.6,59.6,0.079,0.71,4.55,17.5,0.087,45.5,184.0,10.0,322.0,1.2,45.9,0.0,0.1,0.2,,,0.65,0.02,0.07,,,0.08,5.71,0.42
25029,Couscous au mouton,entrées et plats composés,plats composés,149.0,8.31,12.2,7.2,1.3,1.38,68.9,31.6,0.1,1.24,3.0,23.2,0.19,95.4,187.0,,322.0,1.22,0.0,724.0,0.14,0.4,,,5.0,0.075,0.075,1.7,0.3,0.11,18.0,0.5
25043,"Couscous à la viande ou au poulet, préemballé, allégé",entrées et plats composés,plats composés,90.7,5.9,11.5,1.9,2.0,2.1,72.9,22.0,,0.78,2.3,17.0,0.16,88.0,148.0,,300.0,,34.0,779.0,0.04,0.97,,,7.0,0.07,0.07,2.0,0.3,0.13,18.0,0.04
25057,"Poêlée de pommes de terre préfrites, lardons ou poulet, et autres, sans légumes verts, préemballée",entrées et plats composés,plats composés,168.0,3.2,16.2,9.6,2.1,1.7,65.0,26.0,0.08,0.49,20.0,20.0,0.1,88.0,390.0,20.0,260.0,0.45,21.0,22.6,0.25,1.49,3.13,,3.04,0.086,0.056,1.28,0.41,0.15,23.8,0.15
25127,"Couscous royal (avec plusieurs viandes), préemballé",entrées et plats composés,plats composés,132.0,7.69,14.0,4.53,2.1,1.57,69.2,25.2,0.098,0.93,5.8,18.8,0.21,72.3,179.0,2.58,345.0,1.02,10.6,700.0,0.0,0.4,,,1.69,0.07,0.09,1.9,0.3,0.15,17.2,0.28
25138,Couscous au poulet,entrées et plats composés,plats composés,130.0,7.5,15.6,3.85,1.47,2.87,66.9,18.4,,0.86,3.0,18.4,,69.0,153.0,,307.0,,14.0,700.0,0.01,0.48,,,4.05,0.08,0.09,1.9,0.3,0.14,19.1,0.13
25152,"Couscous à la viande, préemballé",entrées et plats composés,plats composés,128.0,7.59,12.5,4.73,2.53,1.97,69.2,25.2,0.098,,,18.8,0.21,,179.0,2.58,313.0,1.02,,,,,,,,,,,,,,
25195,"Parmentier de canard, préemballé",entrées et plats composés,plats composés,146.0,6.82,8.51,9.06,1.55,1.96,69.9,,,,,,,,,,310.0,,,,,,,,,,,,,,,
25587,"Parmentier de canard, préemballé, cuit",entrées et plats composés,plats composés,168.0,7.0,10.5,10.2,1.2,1.7,68.5,39.0,0.07,0.68,20.0,14.0,0.06,74.0,290.0,20.0,296.0,0.89,37.7,,0.25,0.08,1.59,,0.5,0.08,0.071,1.4,0.55,0.11,45.9,0.61
25002,"Cassoulet, appertisé",entrées et plats composés,plats composés,129.0,8.06,9.41,5.77,3.55,1.06,70.6,45.7,0.14,1.23,6.0,34.8,0.22,107.0,289.0,10.0,388.0,0.88,3.5,0.0,0.5,0.18,,,2.94,0.083,0.057,1.25,0.16,0.091,30.0,0.12
25003,"Choucroute garnie, préemballée",entrées et plats composés,plats composés,109.0,5.06,2.8,8.06,2.71,0.66,82.4,27.1,0.076,0.83,17.8,18.0,0.067,60.6,97.5,10.0,552.0,0.84,0.0,0.0,0.0,0.25,,,9.09,0.14,0.11,0.68,,0.02,10.0,
